time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,heading
12986447.0,-0.07,0.11,-1.01,0.18,1.22,0.37,86.72,136.53,-29.56,0.0198,0.5188,0.8536,0.043,32.42
12986458.0,-0.03,0.09,-1.02,0.18,1.77,0.43,86.12,137.13,-27.61,0.0199,0.5189,0.8535,0.043,32.13
12986470.0,0.01,0.08,-1.0,0.06,2.07,0.49,85.97,137.28,-27.76,0.0199,0.5189,0.8535,0.043,32.06
12986481.0,0.02,0.1,-1.0,0.0,1.89,0.43,85.37,137.88,-28.06,0.0198,0.5189,0.8535,0.043,31.76
12986493.0,0.03,0.1,-0.95,0.06,1.65,0.3,85.97,135.93,-27.76,0.0199,0.5189,0.8535,0.043,32.31
12986504.0,0.0,0.1,-0.96,0.12,1.04,0.37,87.17,137.13,-29.41,0.0198,0.5189,0.8535,0.043,32.44
12986516.0,-0.01,0.11,-1.0,0.18,0.73,0.37,87.17,136.08,-28.36,0.0198,0.519,0.8535,0.043,32.64
12986527.0,-0.05,0.11,-0.99,0.12,0.67,0.24,86.42,136.83,-29.11,0.0198,0.519,0.8535,0.043,32.28
12986539.0,-0.06,0.1,-1.01,0.24,0.67,0.18,86.72,138.33,-28.21,0.0198,0.519,0.8535,0.043,32.08
12986550.0,-0.07,0.1,-1.01,0.18,1.34,0.37,87.32,136.53,-28.21,0.0198,0.519,0.8534,0.0431,32.6
12986561.0,-0.05,0.1,-1.01,0.12,1.71,0.49,86.72,136.98,-27.46,0.0198,0.5191,0.8534,0.0431,32.34
12986573.0,0.01,0.08,-1.0,0.18,1.89,0.37,85.37,136.38,-27.31,0.0198,0.5191,0.8534,0.0431,32.05
12986584.0,0.02,0.09,-0.99,0.12,2.01,0.43,85.52,136.23,-27.46,0.0198,0.5191,0.8534,0.0431,32.12
12986596.0,0.03,0.09,-0.97,0.12,1.65,0.37,87.02,137.28,-28.51,0.0198,0.5191,0.8534,0.043,32.37
12986607.0,0.01,0.1,-0.98,0.06,1.16,0.37,87.17,136.38,-27.31,0.0198,0.5191,0.8534,0.043,32.59
12986619.0,-0.01,0.11,-0.99,0.06,0.73,0.37,86.27,136.23,-29.26,0.0198,0.5192,0.8534,0.043,32.34
12986630.0,-0.05,0.11,-0.98,0.18,0.67,0.3,87.32,136.53,-29.26,0.0198,0.5192,0.8533,0.0431,32.6
12986642.0,-0.06,0.1,-1.01,0.12,0.73,0.3,87.02,136.23,-27.46,0.0197,0.5192,0.8533,0.0431,32.57
12986653.0,-0.05,0.09,-1.01,0.24,1.1,0.3,85.52,137.28,-29.56,0.0197,0.5192,0.8533,0.0431,31.92
12986665.0,-0.05,0.1,-1.01,0.24,1.65,0.43,86.27,136.53,-29.56,0.0197,0.5193,0.8533,0.0432,32.29
12986676.0,-0.0,0.08,-0.99,0.18,2.01,0.49,86.12,136.38,-29.41,0.0197,0.5193,0.8533,0.0431,32.27
12986687.0,0.01,0.09,-1.0,0.06,2.01,0.43,86.12,134.73,-28.51,0.0197,0.5193,0.8533,0.0431,32.59
12986699.0,0.03,0.1,-0.98,0.06,1.83,0.37,86.87,136.83,-29.11,0.0198,0.5193,0.8533,0.0431,32.41
12986710.0,0.01,0.1,-0.96,0.12,1.22,0.3,86.27,137.73,-28.21,0.0197,0.5193,0.8533,0.0431,32.06
12986722.0,-0.01,0.1,-0.98,0.0,0.79,0.37,86.72,136.53,-27.16,0.0198,0.5194,0.8532,0.0431,32.42
12986733.0,-0.05,0.1,-0.99,0.12,0.55,0.3,85.97,136.23,-29.26,0.0197,0.5194,0.8532,0.0431,32.25
